subject,trial,score,correct,r_att_envelope,r_ign_envelope,diff_envelope,r_att_onset,r_ign_onset,diff_onset
sub-043,0,0.056116208069368456,True,0.09413054018478105,-0.015846666905507203,0.10997720709028826,0.05555704794534384,0.05330183889689519,0.002255209048448656
sub-043,1,0.06532898598520206,True,0.06144598160164736,-0.011704149379898459,0.07315013098154582,0.12565639321032163,0.06814855222146332,0.057507840988858305
sub-043,2,0.02559963768119431,True,0.1013386087334957,0.05816388735694983,0.04317472137654588,0.07074625914833849,0.06272170516249574,0.008024553985842744
sub-043,3,0.09682231447974611,True,0.1375930477902807,-0.006364404264244307,0.143957452054525,0.06259936290848027,0.012912186003513055,0.04968717690496721
sub-043,4,0.11890446923325351,True,0.12672377229970316,-0.010086686985955391,0.13681045928565855,0.1040832641079358,0.003084784927087303,0.10099847918084849
sub-043,5,0.01496913136544675,True,0.037186734173335824,-0.02783516502428412,0.06502189919761994,0.005775394126597301,0.04085903059332374,-0.035083636466726444
sub-043,6,0.07537611407772872,True,0.1308516275146082,0.03477333295800753,0.09607829455660066,0.13323714798854303,0.07856321438968625,0.05467393359885678
sub-043,7,0.10038546041844716,True,0.05852114832829215,-0.035063117174005426,0.09358426550229758,0.14181596022590964,0.0346293048913129,0.10718665533459674
sub-043,8,0.10363467447826201,True,0.11776048977407114,-0.013678299482697772,0.1314387892567689,0.12302936467451667,0.04719880497476156,0.0758305596997551
sub-043,9,0.06763982790727034,True,0.09359711141884257,0.02202060618376867,0.0715765052350739,0.12976962152235538,0.0660664709428886,0.06370315057946678
sub-043,10,0.01799998411836374,True,0.09893210864553474,0.02590325210011783,0.07302885654541691,0.05867811590061657,0.095707004209306,-0.03702888830868943
sub-043,11,0.06704820503548914,True,0.09069464277119882,0.026624531812170803,0.06407011095902801,0.09458110736749406,0.024554808255543785,0.07002629911195027
sub-043,12,-0.019142265251912698,False,0.03595902537143859,0.021075529508498968,0.014883495862939619,0.01860670203339541,0.07177472840016043,-0.053168026366765014
sub-043,13,-0.02983969859980933,False,0.0649502478173163,0.07914994439031921,-0.014199696573002907,0.04049823924679711,0.08597793987341286,-0.04547970062661575
sub-043,14,0.000530709316290616,True,0.02360468088295073,0.03570518535991303,-0.012100504476962301,0.09012745888544861,0.07696553577590508,0.013161923109543533
sub-043,15,0.05145569886096126,True,0.09763913393458525,0.05288842662558705,0.044750707308998196,0.09803398042338497,0.039873290010460645,0.05816069041292433
sub-043,16,-0.04180426939199992,False,0.010019964111669796,0.11490219971741092,-0.10488223560574113,0.08358748549408186,0.06231378867234057,0.021273696821741295
sub-043,17,0.11659439557712814,True,0.10413348514134295,-0.026530431463001315,0.13066391660434426,0.14350764583161557,0.040982771281703544,0.10252487454991202
sub-043,18,0.13492941304513417,True,0.17588559970083031,0.02116601888529068,0.15471958081553963,0.16681361026642658,0.051674364991697835,0.11513924527472874
sub-043,19,0.06733297964604787,True,0.07986611844886145,0.0038527358835584937,0.07601338256530295,0.07165108635829188,0.012998509631499094,0.05865257672679279
sub-043,20,0.06883273323885311,True,0.12989512512442694,0.00292790878039421,0.12696721634403274,0.08404688848163455,0.07334863834796106,0.010698250133673495
sub-043,21,0.17579319652878211,True,0.1804463710760264,-0.030745136538874115,0.21119150761490052,0.1655432028349662,0.02514831739230251,0.1403948854426637
sub-043,22,0.07071593911325638,True,0.11787070697973126,0.030758558923245544,0.08711214805648572,0.12830166384046757,0.07398193367044054,0.05431973017002703
sub-043,23,0.09079919579241721,True,0.08372291845830383,-0.038990549328697326,0.12271346778700115,0.11105206173916397,0.05216713794133071,0.058884923797833263
sub-043,24,0.03814768898691252,True,0.08687317804517126,0.006539965488656594,0.08033321255651467,0.07119569339090434,0.07523352797359396,-0.004037834582689623
sub-043,25,-0.008557017118255142,False,0.036113741623021715,0.08658066800940907,-0.050466926386387355,0.08920650508011481,0.05585361293023774,0.03335289214987707
sub-043,26,0.09212227957082844,True,0.07420356298347705,-0.07032660947239026,0.1445301724558673,0.08200697005597009,0.0422925833701805,0.03971438668578959
sub-043,27,0.09854299922680951,True,0.11436026368410863,-0.009432982444772002,0.12379324612888064,0.06494603096439758,-0.0083467213603408,0.07329275232473838
sub-043,28,0.06098377963572041,True,0.1283878151474961,0.04482415491710988,0.08356366023038621,0.08393656196222024,0.04553266292116563,0.03840389904105461
sub-043,29,0.08086510775610034,True,0.15475421572030745,0.02782076954439971,0.12693344617590774,0.11113678800764286,0.07634001867134992,0.03479676933629294
sub-043,30,-0.0024276563521906103,False,0.1346941102130133,0.06217579357972176,0.07251831663329156,0.09090995849731492,0.1682835878349877,-0.07737362933767278
sub-043,31,0.026836022785408222,True,0.09018488961327427,0.06967555200973179,0.020509337603542482,0.08744655480357873,0.054283846836304765,0.03316270796727396
