term,estimate,SE,ci_low,ci_high,p_value
Intercept,0.08961377694542128,0.00661726484103006,0.07664417618083919,0.10258337771000337,8.784697835588877e-42
feature[T.Onsets],-0.016142846176564148,0.0034079716855688275,-0.02282234794061131,-0.009463344412516984,2.1712996044451714e-06
group_HI,0.003168972556752927,0.009358225683999355,-0.015172812743083523,0.021510757856589378,0.7348887540162068
group_HI:feature[T.Onsets],-0.0014512455500438498,0.004819599777914933,-0.010897487534654362,0.007994996434566663,0.7633281064075291
