term,estimate,SE,ci_low,ci_high,p_value,interpretation,p_value_formatted
Intercept,0.0895962139702321,0.006425286107926057,0.07700288460833149,0.1021895433321327,3.4070299806056147e-44,NH envelope attended-minus-unattended correlation advantage,< .001
group_HI,0.003182197976520164,0.009086726755956467,-0.014627459202510993,0.020991855155551322,0.7261864375371148,Difference in envelope correlation advantage between HI and NH,0.726
