term,estimate,std_error,conf_low,conf_high,z_stat,df,p_value
(Intercept),2.879311963665999,0.0011680715766022188,2.8770225854444935,2.8816013418875044,2465.0132931421676,inf,0.0
group_NH,-0.4887030113767843,0.0011675708510374455,-0.49099140819421644,-0.48641461455935214,-418.5639020900077,inf,0.0
