term,estimate,std_error,conf_low,conf_high,z_stat,df,p_value
(Intercept),2.3845553705066997,0.25077245706283063,1.8930503863489347,2.8760603546644647,9.508840797094608,inf,1.9279891019682788e-21
group_HI,0.4810705934768546,0.35864859607618027,-0.22186773793831188,1.1840089248920211,1.341342469314088,inf,0.1798092870447556
