comparison,model_used,term_used,interpretation,estimate_log_odds,odds_ratio,predicted_probability,SE,z,p_value,ci_low_log_odds,ci_high_log_odds,ci_low_odds_ratio,ci_high_odds_ratio,p_value_formatted,diagnostic
NH vs chance,NH-only GLMM,Intercept,NH decoding accuracy compared with 50% chance,2.4250885991635043,11.303230831713359,0.9187205366071524,0.25457916440661177,9.525872255948537,1.6366165872563758e-21,1.9261134369265451,2.9240637614004634,6.862785692445435,18.616788132498037,< .001,OK
HI vs chance,HI-only GLMM,Intercept,HI decoding accuracy compared with 50% chance,2.6168789267054953,13.692920215987911,0.9319400102022019,0.27673638760661484,9.456215531820233,3.192903650650921e-21,2.07447560699653,3.1592822464144605,7.96037100148189,23.55368411930882,< .001,OK
HI vs NH,Full GLMM,group_HI,Difference in decoding accuracy between HI and NH,0.165913761234737,1.1804712949465892,,0.35332695922045354,0.469575719896362,0.6386581749775897,-0.5266070788373519,0.8584346013068259,0.5906054517562912,2.3594642989646823,0.639,OK
