term,estimate,SE,df,t,p_value,ci_low,ci_high
(Intercept),0.09259369989805756,0.006479061342884152,46.99804774004797,14.291221366464097,9.980789668613853e-19,0.07989473966600462,0.1052926601301105
pipelineenvelope_onsets,-0.008423284210488564,0.0023335310964424432,2772.0000024296082,-3.6096730072850454,0.0003120123925433781,-0.012997005159515752,-0.0038495632614613754
groupNH,-0.0028127738791296807,0.009012978868314231,43.99999377446855,-0.31208038099569807,0.756453589734106,-0.02047821246102557,0.014852664702766211
