term,estimate_log_odds,SE,z,p_value,odds_ratio,ci_low_log_odds,ci_high_log_odds,ci_low_odds_ratio,ci_high_odds_ratio
(Intercept),2.8559774186518263,0.2701244051843011,10.572822610023865,3.983222927567979e-26,17.391427608662788,2.3265335844905963,3.3854212528130563,10.242375595880116,29.53042987302869
pipelineenvelope_onsets,-0.09648811280379449,0.1300793598218429,-0.7417634353055312,0.45823067798509476,0.9080206913557127,-0.3514436580546066,0.1584674324470176,0.7036714950660962,1.1717137637537256
groupNH,-0.3403250802174891,0.35829878693108286,-0.9498359822327533,0.34219559950822925,0.7115389779161376,-1.0425907026024115,0.3619405421674333,0.3525401711186982,1.4361135512227277
